"Gene_ID","Module"
"gene-LOC140682298|LOC140682298","darkmagenta"
"gene-ZNF654|ZNF654","royalblue"
"gene-HEMK2|HEMK2","blue"
"gene-CGGBP1|CGGBP1","turquoise"
"gene-LOC121469187|LOC121469187","blue"
"gene-ADAMTS5|ADAMTS5","thistle1"
"gene-ADAMTS1|ADAMTS1","blue"
"gene-LOC140682320|LOC140682320","darkorange2"
"gene-LOC115493573|LOC115493573","yellow"
"gene-GDPD5|GDPD5","salmon"
"gene-SERPINH1|SERPINH1","blue"
"gene-RPS3|RPS3","magenta"
"gene-LOC115497774|LOC115497774","black"
"gene-FCHSD2|FCHSD2","purple"
"gene-P2RY2|P2RY2","blue"
"gene-P2RY6|P2RY6","midnightblue"
"gene-RELT|RELT","pink"
"gene-ARHGEF17|ARHGEF17","lavenderblush3"
"gene-FAM168A|FAM168A","turquoise"
"gene-PLEKHB1|PLEKHB1","darkgrey"
"gene-RAB6A|RAB6A","brown"
"gene-DNAJB13|DNAJB13","black"
"gene-MRPL48|MRPL48","magenta"
"gene-COA4|COA4","black"
"gene-PAAF1|PAAF1","brown"
"gene-HUNK|HUNK","brown"
"gene-TIAM1|TIAM1","green"
"gene-MRAP|MRAP","darkseagreen4"
"gene-GRIK1|GRIK1","darkgrey"
"gene-SCAF4|SCAF4","black"
"gene-SOD1|SOD1","greenyellow"
"gene-SLCO2B1|SLCO2B1","yellow"
"gene-LOC140682378|LOC140682378","darkturquoise"
"gene-PGM2L1|PGM2L1","yellow"
"gene-KCNE3|KCNE3","lightcyan1"
"gene-LIPT2|LIPT2","black"
"gene-POLD3|POLD3","ivory"
"gene-NEU3|NEU3","magenta"
"gene-RNF169|RNF169","darkmagenta"
"gene-SPCS2|SPCS2","magenta"
"gene-P4HA3|P4HA3","yellow"
"gene-C2CD3|C2CD3","lightyellow"
"gene-LOC100229080|LOC100229080","darkseagreen4"
"gene-LOC116807788|LOC116807788","brown"
"gene-LOC115496044|LOC115496044","red"
"gene-PPME1|PPME1","turquoise"
"gene-SYNJ1|SYNJ1","yellow"
"gene-EVA1C|EVA1C","yellow"
"gene-CFAP298|CFAP298","red"
"gene-URB1|URB1","red"
"gene-COL8A1|COL8A1","black"
"gene-ST3GAL6|ST3GAL6","pink"
"gene-CPOX|CPOX","red"
"gene-LOC140682449|LOC140682449","navajowhite2"
"gene-TTF2|TTF2","darkorange"
"gene-LOC140682464|LOC140682464","blue"
"gene-LOC100227529|LOC100227529","tan"
"gene-DPT|DPT","plum1"
"gene-GPR161|GPR161","yellow"
"gene-SFT2D2|SFT2D2","pink"
"gene-TIPRL|TIPRL","black"
"gene-TBX19|TBX19","green"
"gene-NME7|NME7","black"
"gene-ATP1B1|ATP1B1","coral1"
"gene-BLZF1|BLZF1","sienna3"
"gene-CCDC181|CCDC181","salmon4"
"gene-SLC19A2|SLC19A2","darkseagreen4"
"gene-F5|F5","turquoise"
"gene-ATG3|ATG3","brown"
"gene-SLC35A5|SLC35A5","cyan"
"gene-CCDC80|CCDC80","plum1"
"gene-LOC121469357|LOC121469357","turquoise"
"gene-LOC100227477|LOC100227477","green"
"gene-LOC115493789|LOC115493789","grey"
"gene-GTPBP8|GTPBP8","greenyellow"
"gene-LOC115493776|LOC115493776","lightyellow"
"gene-TAF13|TAF13","darkred"
"gene-RMP64|RMP64","black"
"gene-BOC|BOC","green"
"gene-CFAP44|CFAP44","grey60"
"gene-LOC100227541|LOC100227541","white"
"gene-ILDR1|ILDR1","grey"
"gene-GPR15|GPR15","tan"
"gene-CLDND1|CLDND1","thistle2"
"gene-GRAMD1C|GRAMD1C","brown"
"gene-DRD3|DRD3","grey"
"gene-ZDHHC23|ZDHHC23","white"
"gene-CCDC191|CCDC191","yellow"
"gene-QTRT2|QTRT2","thistle2"
"gene-GAP43|GAP43","orange"
"gene-ZBTB20|ZBTB20","grey"
"gene-LOC100227480|LOC100227480","orange"
"gene-LSAMP|LSAMP","green"
"gene-ARHGAP31|ARHGAP31","darkgrey"
"gene-LOC100219809|LOC100219809","lightgreen"
"gene-B4GALT4|B4GALT4","brown"
"gene-TMEM39A|TMEM39A","blue"
"gene-LOC105760670|LOC105760670","turquoise"
"gene-CHD1L|CHD1L","maroon"
"gene-CASQ2|CASQ2","darkolivegreen"
"gene-VANGL1|VANGL1","turquoise"
"gene-NHLH2|NHLH2","paleturquoise"
"gene-LOC140682591|LOC140682591","green"
"gene-LOC140682593|LOC140682593","green"
"gene-SLC22A15|SLC22A15","royalblue"
"gene-LOC140682598|LOC140682598","blue"
"gene-ATP1A1|ATP1A1","turquoise"
"gene-LOC140682605|LOC140682605","green"
"gene-LOC101234149|LOC101234149","grey60"
"gene-PLA1A|PLA1A","black"
"gene-LOC115493891|LOC115493891","blue"
"gene-POPDC2|POPDC2","grey60"
"gene-COX17|COX17","blue"
"gene-GPR156|GPR156","palevioletred3"
"gene-CFAP91|CFAP91","darkgreen"
"gene-GSK3B|GSK3B","turquoise"
"gene-LRRC58|LRRC58","turquoise"
"gene-FSTL1|FSTL1","pink"
"gene-LOC115493915|LOC115493915","navajowhite2"
"gene-NDUFB4|NDUFB4","brown"
"gene-HGD|HGD","lightgreen"
"gene-RABL3|RABL3","red"
"gene-GTF2E1|GTF2E1","turquoise"
"gene-LOC116807858|LOC116807858","pink"
"gene-STXBP5L|STXBP5L","paleturquoise"
"gene-POLQ|POLQ","purple"
"gene-METTL16|METTL16","darkorange"
"gene-TNFRSF1A|TNFRSF1A","darkgreen"
"gene-VTCN1|VTCN1","yellow"
"gene-CTC1|CTC1","tan"
"gene-TRIM45|TRIM45","black"
"gene-SPICE1|SPICE1","tan"
"gene-SIDT1|SIDT1","turquoise"
"gene-USF3|USF3","lightyellow"
"gene-NAA50|NAA50","brown"
"gene-TENT5C|TENT5C","pink"
"gene-ATP6V1A|ATP6V1A","turquoise"
"gene-DUSP12|DUSP12","yellow"
"gene-GDAP2|GDAP2","greenyellow"
"gene-WDR3|WDR3","grey"
"gene-WARS2|WARS2","tan"
"gene-HAO2|HAO2","grey"
"gene-HSD3B1|HSD3B1","white"
"gene-CD86|CD86","blue"
"gene-MAN1A2|MAN1A2","turquoise"
"gene-FBXO40|FBXO40","red"
"gene-SCNN1A|SCNN1A","yellow"
"gene-CSTB|CSTB","grey"
"gene-LOC100228799|LOC100228799","blue"
"gene-MIX23|MIX23","brown"
"gene-FAM162A|FAM162A","greenyellow"
"gene-KPNA1|KPNA1","pink"
"gene-VAMP1|VAMP1","yellow"
"gene-NCAPD2|NCAPD2","lightgreen"
"gene-MRPL51|MRPL51","magenta"
"gene-LOC140682653|LOC140682653","magenta"
"gene-IFFO1|IFFO1","turquoise"
"gene-NOP2|NOP2","yellow"
"gene-GAPDH|GAPDH","brown"
"gene-LPAR5|LPAR5","green"
"gene-ACRBP|ACRBP","grey"
"gene-ING4|ING4","yellow"
"gene-CHD4|CHD4","pink"
"gene-ZNF384|ZNF384","turquoise"
"gene-LAG3|LAG3","purple"
"gene-CD4|CD4","mediumpurple3"
"gene-GPR162|GPR162","lavenderblush3"
"gene-CDCA3|CDCA3","green"
"gene-P3H3|P3H3","salmon"
"gene-GNB3|GNB3","lightsteelblue1"
"gene-PIANP|PIANP","turquoise"
"gene-COPS7A|COPS7A","brown"
