"GeneID","Symbol"
"gene-ELP3|ELP3","ELP3"
"gene-RUSC2|RUSC2","RUSC2"
"gene-ACTR6|ACTR6","ACTR6"
"gene-IL15|IL15","IL15"
"gene-PTPN4|PTPN4","PTPN4"
"gene-SRFBP1|SRFBP1","SRFBP1"
"gene-ZNF618|ZNF618","ZNF618"
"gene-PEX1|PEX1","PEX1"
"gene-EPS15|EPS15","EPS15"
"gene-ENPP7|ENPP7","ENPP7"
"gene-POLR1F|POLR1F","POLR1F"
"gene-CNOT6L|CNOT6L","CNOT6L"
"gene-SNX29|SNX29","SNX29"
"gene-NDUFA12|NDUFA12","NDUFA12"
"gene-SUPT6H|SUPT6H","SUPT6H"
"gene-MICU2|MICU2","MICU2"
"gene-MOSPD1|MOSPD1","MOSPD1"
"gene-KATNA1|KATNA1","KATNA1"
"gene-SMARCA2|SMARCA2","SMARCA2"
"gene-RABGEF1|RABGEF1","RABGEF1"
"gene-TCEA2|TCEA2","TCEA2"
"gene-PIK3R6|PIK3R6","PIK3R6"
"gene-BTBD9|BTBD9","BTBD9"
"gene-TM9SF2|TM9SF2","TM9SF2"
"gene-CZH9orf40|CZH9orf40","CZH9orf40"
"gene-PPP2R5A|PPP2R5A","PPP2R5A"
"gene-ELF1|ELF1","ELF1"
"gene-BCL11B|BCL11B","BCL11B"
"gene-KIAA1328|KIAA1328","KIAA1328"
"gene-SLC9A6|SLC9A6","SLC9A6"
"gene-SCRN3|SCRN3","SCRN3"
"gene-SAMTOR|SAMTOR","SAMTOR"
"gene-MANEA|MANEA","MANEA"
"gene-SCN2B|SCN2B","SCN2B"
"gene-ACOX1|ACOX1","ACOX1"
"gene-MRPS6|MRPS6","MRPS6"
"gene-ZEB1|ZEB1","ZEB1"
"gene-LOC105759033|LOC105759033","LOC105759033"
"gene-PEX5|PEX5","PEX5"
"gene-ACADL|ACADL","ACADL"
"gene-BCL7A|BCL7A","BCL7A"
"gene-EEF2K|EEF2K","EEF2K"
"gene-CAV2|CAV2","CAV2"
"gene-LBR|LBR","LBR"
"gene-CIBAR1|CIBAR1","CIBAR1"
"gene-SEH1L|SEH1L","SEH1L"
"gene-ELP4|ELP4","ELP4"
"gene-GBE1|GBE1","GBE1"
"gene-SENP5|SENP5","SENP5"
"gene-GTF2E1|GTF2E1","GTF2E1"
"gene-MICU1|MICU1","MICU1"
"gene-TRAPPC10|TRAPPC10","TRAPPC10"
"gene-TMEM94|TMEM94","TMEM94"
"gene-LOC100227613|LOC100227613","LOC100227613"
"gene-ZNF711|ZNF711","ZNF711"
"gene-RALGPS2|RALGPS2","RALGPS2"
"gene-DDX11|DDX11","DDX11"
"gene-DSE|DSE","DSE"
"gene-PTK2B|PTK2B","PTK2B"
"gene-IL20RA|IL20RA","IL20RA"
"gene-OSBPL11|OSBPL11","OSBPL11"
"gene-DCBLD2|DCBLD2","DCBLD2"
"gene-AIMP1|AIMP1","AIMP1"
"gene-SH2D1B|SH2D1B","SH2D1B"
"gene-LOC100221315|LOC100221315","LOC100221315"
"gene-NDFIP2|NDFIP2","NDFIP2"
"gene-DECR1|DECR1","DECR1"
"gene-PRKD3|PRKD3","PRKD3"
"gene-KLHL8|KLHL8","KLHL8"
"gene-POLR2G|POLR2G","POLR2G"
"gene-HIBCH|HIBCH","HIBCH"
"gene-VBP1|VBP1","VBP1"
"gene-LOC100221272|LOC100221272","LOC100221272"
"gene-STK3|STK3","STK3"
"gene-PIN4|PIN4","PIN4"
"gene-JAK2|JAK2","JAK2"
"gene-NDUFB4|NDUFB4","NDUFB4"
"gene-GALNT6|GALNT6","GALNT6"
"gene-SETBP1|SETBP1","SETBP1"
"gene-MLLT1|MLLT1","MLLT1"
"gene-NHLRC3|NHLRC3","NHLRC3"
"gene-ARB2A|ARB2A","ARB2A"
"gene-CCNI|CCNI","CCNI"
"gene-FANCE|FANCE","FANCE"
"gene-REEP1|REEP1","REEP1"
"gene-THYN1|THYN1","THYN1"
"gene-VRK1|VRK1","VRK1"
"gene-ARK2C|ARK2C","ARK2C"
"gene-NEK7|NEK7","NEK7"
"gene-WDR5|WDR5","WDR5"
"gene-PRP4K|PRP4K","PRP4K"
"gene-MYSM1|MYSM1","MYSM1"
"gene-CENPK|CENPK","CENPK"
"gene-GPR162|GPR162","GPR162"
"gene-MACIR|MACIR","MACIR"
"gene-CAST|CAST","CAST"
"gene-RRM2B|RRM2B","RRM2B"
"gene-CD40LG|CD40LG","CD40LG"
"gene-LEF1|LEF1","LEF1"
"gene-CFAP418|CFAP418","CFAP418"
"gene-BCL11A|BCL11A","BCL11A"
"gene-UBE3B|UBE3B","UBE3B"
