"GeneID","Symbol","logCPM","logFC_Heat_vs_Control","logFC_Rec2h_vs_Control","logFC_Rec24h_vs_Control","logFC_Rec2wk_vs_Control","F","PValue","FDR"
"gene-STX2|STX2","STX2",4.5030748263775,-0.549667284859975,-0.324238399830418,-0.0232722923525666,0.185364807196017,8.05059354186772,2.90547883018338e-05,0.00081749608903796
"gene-SPPL2B|SPPL2B","SPPL2B",4.65392841370307,-0.376032885105596,-0.049156483502764,-0.0363293761532253,0.135388671424335,8.04758181414577,2.91623778973365e-05,0.000819034116082183
"gene-LOC116806700|LOC116806700","LOC116806700",2.67994525105327,0.469818412842347,-0.0146634721432859,-0.303180185908147,-0.338653104906218,8.04027628176929,2.94250651506778e-05,0.00082491464349047
"gene-LOC115493074|LOC115493074","LOC115493074",-0.233134334475428,-1.91517462857082,-0.726206448847143,-0.0707425143520136,0.271691320635769,8.02409799651552,3.00155002106816e-05,0.000838429360578156
"gene-UBQLN1|UBQLN1","UBQLN1",5.22589552701732,0.439805291261227,0.115807053787996,-0.120819551344191,-0.121675147243588,8.02516568170728,2.99761611118783e-05,0.000838429360578156
"gene-LEKR1|LEKR1","LEKR1",3.77468026354347,0.911785674041327,0.406092032344048,0.0617007370528828,-0.141482889960861,8.02072678631887,3.01400624569139e-05,0.000840330791737824
"gene-LOC140680470|LOC140680470","LOC140680470",4.67189183891801,0.62835488319317,0.263452287045784,-0.200456561775395,0.249703792069207,8.01932062133998,3.01921757806934e-05,0.000840330791737824
"gene-PEX19|PEX19","PEX19",2.85053686815739,-0.643567132117103,-0.172327813118843,0.0888528918978455,0.192688623987956,8.00513413882447,3.07231539669055e-05,0.000853574160929735
"gene-PCIF1|PCIF1","PCIF1",6.85147303977806,-0.123862119587814,-0.0589233990184157,-0.0758765487537829,0.301881205282259,7.99302269631601,3.1184071576417e-05,0.000864827074632711
"gene-ASNS|ASNS","ASNS",2.42744531504852,-0.703841297229256,0.667538914690506,0.54024121496415,0.433370954664508,7.98979839319764,3.13079727151584e-05,0.000865567504919399
"gene-LOC100189940|LOC100189940","LOC100189940",4.74896766868293,0.327757239027812,-0.133625313736378,-0.211513637689523,-0.135169210126365,7.98941765953279,3.1322636688521e-05,0.000865567504919399
