"GeneID","Cluster"
"gene-LOC100232395|LOC100232395",3
"gene-RBM47|RBM47",3
"gene-ASAH1|ASAH1",2
"gene-LOC100190592|LOC100190592",1
"gene-AIMP1|AIMP1",4
"gene-LIN54|LIN54",5
"gene-ANTXR2|ANTXR2",1
"gene-ZNF711|ZNF711",1
"gene-MAP7D3|MAP7D3",1
"gene-DOCK11|DOCK11",1
"gene-NRK|NRK",1
"gene-NKRF|NKRF",5
"gene-NKAP|NKAP",5
"gene-TMEM164|TMEM164",1
"gene-RBM11|RBM11",5
"gene-NHSL2|NHSL2",1
"gene-UPRT|UPRT",1
"gene-FAR1|FAR1",1
"gene-BMAL1|BMAL1",1
"gene-CAPRIN1|CAPRIN1",5
"gene-POLD4|POLD4",5
"gene-PTDSS2|PTDSS2",1
"gene-MPEG1|MPEG1",1
"gene-AMPD3|AMPD3",3
"gene-SBF2|SBF2",3
"gene-TALDO1|TALDO1",1
"gene-SLC25A22|SLC25A22",1
"gene-KMT5B|KMT5B",5
"gene-SPI1|SPI1",3
"gene-NR1H3|NR1H3",5
"gene-CAPN3|CAPN3",2
"gene-VTI1B|VTI1B",5
"gene-RALGAPA1|RALGAPA1",1
"gene-FCF1|FCF1",5
"gene-NOXRED1|NOXRED1",5
"gene-VIPAS39|VIPAS39",5
"gene-AHSA1|AHSA1",5
"gene-SPTLC2|SPTLC2",4
"gene-GPR65|GPR65",1
"gene-SPATA7|SPATA7",2
"gene-TTC8|TTC8",1
"gene-KCNK13|KCNK13",1
"gene-SETD3|SETD3",1
"gene-EIF5|EIF5",5
"gene-CKB|CKB",1
"gene-PLD4|PLD4",3
"gene-KTN1|KTN1",1
"gene-GMFB|GMFB",1
"gene-VSIR|VSIR",1
"gene-SGPL1|SGPL1",1
"gene-POLR3A|POLR3A",5
"gene-BLNK|BLNK",1
"gene-LOC140684451|LOC140684451",1
"gene-OGA|OGA",5
"gene-NT5C2|NT5C2",4
"gene-CFAP43|CFAP43",1
"gene-RAB11FIP2|RAB11FIP2",1
"gene-CHST15|CHST15",1
"gene-PTPRE|PTPRE",1
"gene-MGMT|MGMT",4
"gene-FN1|FN1",1
"gene-ATIC|ATIC",1
"gene-MCM3AP|MCM3AP",5
"gene-PCBP3|PCBP3",4
"gene-ARL4C|ARL4C",2
"gene-MRAS|MRAS",1
"gene-RUFY4|RUFY4",1
"gene-CYP27A1|CYP27A1",1
"gene-SLC23A3|SLC23A3",5
"gene-STK39|STK39",1
"gene-ITGA4|ITGA4",1
"gene-HSPD1|HSPD1",5
"gene-ITGB2|ITGB2",3
"gene-DBI|DBI",1
"gene-ACTR3|ACTR3",1
"gene-ACVR2A|ACVR2A",5
"gene-EPS15|EPS15",1
"gene-OSBPL9|OSBPL9",5
"gene-UROD|UROD",4
"gene-PIGK|PIGK",4
"gene-DPYD|DPYD",3
"gene-PRPF38B|PRPF38B",5
"gene-RO60|RO60",5
"gene-ARPC5|ARPC5",1
"gene-CRIP1|CRIP1",1
"gene-CEP350|CEP350",5
