"GeneID","Symbol"
"gene-LOC101233818|LOC101233818","LOC101233818"
"gene-OSBP|OSBP","OSBP"
"gene-HDAC11|HDAC11","HDAC11"
"gene-TRAPPC4|TRAPPC4","TRAPPC4"
"gene-FKBP15|FKBP15","FKBP15"
"gene-MAPDA|MAPDA","MAPDA"
"gene-PRELID1|PRELID1","PRELID1"
"gene-CMSS1|CMSS1","CMSS1"
"gene-TAF13|TAF13","TAF13"
"gene-VPS37A|VPS37A","VPS37A"
"gene-TANGO6|TANGO6","TANGO6"
"gene-LOC100222731|LOC100222731","LOC100222731"
"gene-DNAJC17|DNAJC17","DNAJC17"
"gene-LOC100220663|LOC100220663","LOC100220663"
"gene-LOC115494853|LOC115494853","LOC115494853"
"gene-EYA3|EYA3","EYA3"
"gene-CENATAC|CENATAC","CENATAC"
"gene-COG7|COG7","COG7"
"gene-MAN1C1|MAN1C1","MAN1C1"
"gene-SLC35B1|SLC35B1","SLC35B1"
"gene-TRA2B|TRA2B","TRA2B"
"gene-NDUFA7|NDUFA7","NDUFA7"
"gene-GOLGA2|GOLGA2","GOLGA2"
"gene-TIMM13|TIMM13","TIMM13"
"gene-CCDC191|CCDC191","CCDC191"
"gene-VPS53|VPS53","VPS53"
"gene-LOC115491911|LOC115491911","LOC115491911"
"gene-B4GALT3|B4GALT3","B4GALT3"
"gene-UBFD1|UBFD1","UBFD1"
"gene-EMB|EMB","EMB"
"gene-LOC100219450|LOC100219450","LOC100219450"
"gene-ARHGAP17|ARHGAP17","ARHGAP17"
"gene-UNK|UNK","UNK"
"gene-COX5A|COX5A","COX5A"
"gene-CPNE1|CPNE1","CPNE1"
"gene-VAMP4|VAMP4","VAMP4"
"gene-GPHN|GPHN","GPHN"
"gene-XRCC6|XRCC6","XRCC6"
"gene-RC3H2|RC3H2","RC3H2"
"gene-KXD1|KXD1","KXD1"
"gene-H2AFV|H2AFV","H2AFV"
"gene-MST1|MST1","MST1"
"gene-PCIF1|PCIF1","PCIF1"
"gene-CCS|CCS","CCS"
"gene-C5H11orf58|C5H11orf58","C5H11orf58"
"gene-SIL1|SIL1","SIL1"
"gene-CGRRF1|CGRRF1","CGRRF1"
