"GeneID","Symbol"
"gene-DEGS1|DEGS1","DEGS1"
"gene-NFIL3|NFIL3","NFIL3"
"gene-SIRT1|SIRT1","SIRT1"
"gene-CYB5A|CYB5A","CYB5A"
"gene-LOC116808052|LOC116808052","LOC116808052"
"gene-LOC101233594|LOC101233594","LOC101233594"
"gene-LOC115494153|LOC115494153","LOC115494153"
"gene-SLC25A3|SLC25A3","SLC25A3"
"gene-LOC100227298|LOC100227298","LOC100227298"
"gene-KLF13|KLF13","KLF13"
"gene-LOC115496474|LOC115496474","LOC115496474"
"gene-LOC115497094|LOC115497094","LOC115497094"
"gene-LOC115495379|LOC115495379","LOC115495379"
"gene-TPX2|TPX2","TPX2"
"gene-SLC25A37|SLC25A37","SLC25A37"
"gene-MAFK|MAFK","MAFK"
"gene-LOC115495699|LOC115495699","LOC115495699"
"gene-LOC100232209|LOC100232209","LOC100232209"
"gene-LOC115496323|LOC115496323","LOC115496323"
"gene-LOC101233194|LOC101233194","LOC101233194"
"gene-BTG2|BTG2","BTG2"
"gene-LOC140682142|LOC140682142","LOC140682142"
"gene-LOC115496227|LOC115496227","LOC115496227"
"gene-EIF4A2|EIF4A2","EIF4A2"
"gene-LOC140685058|LOC140685058","LOC140685058"
"gene-TGM2|TGM2","TGM2"
"gene-SLC6A6|SLC6A6","SLC6A6"
"gene-APOA4|APOA4","APOA4"
"gene-LOC105760834|LOC105760834","LOC105760834"
"gene-UBQLN1|UBQLN1","UBQLN1"
"gene-LOC116806891|LOC116806891","LOC116806891"
"gene-LOC105758560|LOC105758560","LOC105758560"
"gene-LOC115493763|LOC115493763","LOC115493763"
"gene-LOC140682140|LOC140682140","LOC140682140"
"gene-MTHFD2|MTHFD2","MTHFD2"
"gene-OTUD1|OTUD1","OTUD1"
"gene-HSP90B1|HSP90B1","HSP90B1"
"gene-ART4|ART4","ART4"
"gene-ATF7IP|ATF7IP","ATF7IP"
"gene-HIGD1A|HIGD1A","HIGD1A"
"gene-PPIA|PPIA","PPIA"
"gene-ING1|ING1","ING1"
"gene-MIS12|MIS12","MIS12"
"gene-LOC116806853|LOC116806853","LOC116806853"
"gene-LOC116806700|LOC116806700","LOC116806700"
"gene-LOC100224239|LOC100224239","LOC100224239"
"gene-LOC116806864|LOC116806864","LOC116806864"
"gene-MAEA|MAEA","MAEA"
"gene-CISH|CISH","CISH"
"gene-GLE1|GLE1","GLE1"
"gene-UBE2R2|UBE2R2","UBE2R2"
"gene-LOC101234170|LOC101234170","LOC101234170"
"gene-LAPTM4A|LAPTM4A","LAPTM4A"
"gene-TSC22D2|TSC22D2","TSC22D2"
"gene-HEXIM1|HEXIM1","HEXIM1"
"gene-TAL1|TAL1","TAL1"
"gene-NUF2|NUF2","NUF2"
"gene-SPTBN5|SPTBN5","SPTBN5"
"gene-LOC115497435|LOC115497435","LOC115497435"
"gene-RFESD|RFESD","RFESD"
"gene-SCNN1A|SCNN1A","SCNN1A"
"gene-BRPF3|BRPF3","BRPF3"
"gene-LOC100227074|LOC100227074","LOC100227074"
"gene-RESF1|RESF1","RESF1"
"gene-SHLD3|SHLD3","SHLD3"
"gene-KLB|KLB","KLB"
"gene-LOC115494886|LOC115494886","LOC115494886"
"gene-DNAJB6|DNAJB6","DNAJB6"
"gene-LOC140684714|LOC140684714","LOC140684714"
"gene-LOC105759170|LOC105759170","LOC105759170"
"gene-HSPA4L|HSPA4L","HSPA4L"
"gene-LOC121470096|LOC121470096","LOC121470096"
"gene-LOC140684128|LOC140684128","LOC140684128"
"gene-SOD2|SOD2","SOD2"
"gene-NELFA|NELFA","NELFA"
"gene-IER5L|IER5L","IER5L"
"gene-EIF5|EIF5","EIF5"
"gene-LOC115497775|LOC115497775","LOC115497775"
"gene-ZMAT3|ZMAT3","ZMAT3"
"gene-VASH1|VASH1","VASH1"
"gene-LOC115496311|LOC115496311","LOC115496311"
"gene-B3GNT5|B3GNT5","B3GNT5"
"gene-HPS5|HPS5","HPS5"
"gene-LOC121469984|LOC121469984","LOC121469984"
"gene-NPHP3|NPHP3","NPHP3"
"gene-SLC41A3|SLC41A3","SLC41A3"
"gene-LOC115494687|LOC115494687","LOC115494687"
"gene-SYNM|SYNM","SYNM"
"gene-STIL|STIL","STIL"
"gene-LOC140683616|LOC140683616","LOC140683616"
"gene-AHSA2P|AHSA2P","AHSA2P"
"gene-SUGT1|SUGT1","SUGT1"
"gene-EMILIN2|EMILIN2","EMILIN2"
"gene-LOC115496343|LOC115496343","LOC115496343"
"gene-LOC140682499|LOC140682499","LOC140682499"
"gene-LRRC23|LRRC23","LRRC23"
"gene-RHOB|RHOB","RHOB"
"gene-CUL4B|CUL4B","CUL4B"
"gene-HNRNPH1|HNRNPH1","HNRNPH1"
"gene-PALMD|PALMD","PALMD"
"gene-ATXN7|ATXN7","ATXN7"
"gene-HMMR|HMMR","HMMR"
"gene-LOC100220722|LOC100220722","LOC100220722"
"gene-SH3BP5|SH3BP5","SH3BP5"
"gene-FOXE1|FOXE1","FOXE1"
"gene-ADNP2|ADNP2","ADNP2"
"gene-GPBP1|GPBP1","GPBP1"
"gene-ZNF292|ZNF292","ZNF292"
"gene-TTPA|TTPA","TTPA"
"gene-LOC115496564|LOC115496564","LOC115496564"
"gene-KMT5B|KMT5B","KMT5B"
"gene-LOC115496482|LOC115496482","LOC115496482"
"gene-GP1BB|GP1BB","GP1BB"
"gene-GOLPH3|GOLPH3","GOLPH3"
"gene-EIF2D|EIF2D","EIF2D"
"gene-TLR2|TLR2","TLR2"
"gene-LOC115496828|LOC115496828","LOC115496828"
"gene-LOC140684313|LOC140684313","LOC140684313"
"gene-LONRF3|LONRF3","LONRF3"
"gene-HDAC9|HDAC9","HDAC9"
"gene-JUND|JUND","JUND"
"gene-LOC100220453|LOC100220453","LOC100220453"
"gene-RHCE|RHCE","RHCE"
"gene-CXCR5|CXCR5","CXCR5"
"gene-TCF12|TCF12","TCF12"
"gene-LOC115495975|LOC115495975","LOC115495975"
"gene-LOC140682214|LOC140682214","LOC140682214"
"gene-LOC115490810|LOC115490810","LOC115490810"
"gene-BCL2L1|BCL2L1","BCL2L1"
"gene-VPS26A|VPS26A","VPS26A"
"gene-ZBTB21|ZBTB21","ZBTB21"
"gene-BEST1|BEST1","BEST1"
