"GeneID","Symbol"
"gene-SDSL|SDSL","SDSL"
"gene-CHCHD10|CHCHD10","CHCHD10"
"gene-MRPL12|MRPL12","MRPL12"
"gene-RHOA|RHOA","RHOA"
"gene-CLYBL|CLYBL","CLYBL"
"gene-COASY|COASY","COASY"
"gene-SIRT3|SIRT3","SIRT3"
"gene-NDUFA13|NDUFA13","NDUFA13"
"gene-GDF2|GDF2","GDF2"
"gene-NDUFAB1|NDUFAB1","NDUFAB1"
"gene-SDHB|SDHB","SDHB"
"gene-LOC121470256|LOC121470256","LOC121470256"
"gene-ZFYVE19|ZFYVE19","ZFYVE19"
"gene-TCIM|TCIM","TCIM"
"gene-LPIN2|LPIN2","LPIN2"
"gene-NDUFV1|NDUFV1","NDUFV1"
"gene-NDUFA7|NDUFA7","NDUFA7"
"gene-PGM1|PGM1","PGM1"
"gene-MARVELD3|MARVELD3","MARVELD3"
"gene-NCOA7|NCOA7","NCOA7"
"gene-PUDP|PUDP","PUDP"
"gene-SCARB1|SCARB1","SCARB1"
"gene-NEB|NEB","NEB"
"gene-NDUFA8|NDUFA8","NDUFA8"
