"Gene_ID","Module"
"gene-HEMK2|HEMK2","royalblue"
"gene-CGGBP1|CGGBP1","brown"
"gene-LOC121469187|LOC121469187","greenyellow"
"gene-ADAMTS5|ADAMTS5","greenyellow"
"gene-ADAMTS1|ADAMTS1","blue"
"gene-LOC140682320|LOC140682320","grey"
"gene-LOC115493573|LOC115493573","turquoise"
"gene-GDPD5|GDPD5","purple"
"gene-SERPINH1|SERPINH1","blue"
"gene-RPS3|RPS3","pink"
"gene-LOC115497774|LOC115497774","red"
"gene-FCHSD2|FCHSD2","turquoise"
"gene-P2RY2|P2RY2","blue"
"gene-P2RY6|P2RY6","blue"
"gene-RELT|RELT","tan"
"gene-ARHGEF17|ARHGEF17","blue"
"gene-FAM168A|FAM168A","brown"
"gene-PLEKHB1|PLEKHB1","darkgrey"
"gene-RAB6A|RAB6A","green"
"gene-DNAJB13|DNAJB13","turquoise"
"gene-MRPL48|MRPL48","pink"
"gene-COA4|COA4","red"
"gene-PAAF1|PAAF1","greenyellow"
"gene-HUNK|HUNK","green"
"gene-TIAM1|TIAM1","blue"
"gene-MRAP|MRAP","skyblue3"
"gene-GRIK1|GRIK1","darkgreen"
"gene-SCAF4|SCAF4","orange"
"gene-SOD1|SOD1","yellow"
"gene-SLCO2B1|SLCO2B1","skyblue3"
"gene-LOC140682378|LOC140682378","darkorange"
"gene-PGM2L1|PGM2L1","turquoise"
"gene-KCNE3|KCNE3","pink"
"gene-LIPT2|LIPT2","turquoise"
"gene-POLD3|POLD3","grey"
"gene-NEU3|NEU3","grey"
"gene-RNF169|RNF169","red"
"gene-SPCS2|SPCS2","grey60"
"gene-P4HA3|P4HA3","grey"
"gene-C2CD3|C2CD3","turquoise"
"gene-LOC100229080|LOC100229080","turquoise"
"gene-LOC116807788|LOC116807788","turquoise"
"gene-LOC115496044|LOC115496044","grey"
"gene-PPME1|PPME1","green"
"gene-SYNJ1|SYNJ1","turquoise"
"gene-EVA1C|EVA1C","turquoise"
"gene-CFAP298|CFAP298","grey"
"gene-URB1|URB1","turquoise"
"gene-COL8A1|COL8A1","blue"
"gene-ST3GAL6|ST3GAL6","blue"
"gene-CPOX|CPOX","brown"
"gene-LOC140682449|LOC140682449","red"
"gene-TTF2|TTF2","blue"
"gene-LOC140682464|LOC140682464","darkorange2"
"gene-LOC100227529|LOC100227529","blue"
"gene-DPT|DPT","purple"
"gene-GPR161|GPR161","sienna3"
"gene-SFT2D2|SFT2D2","brown"
"gene-TIPRL|TIPRL","turquoise"
"gene-TBX19|TBX19","turquoise"
"gene-NME7|NME7","red"
"gene-ATP1B1|ATP1B1","greenyellow"
"gene-BLZF1|BLZF1","brown"
"gene-CCDC181|CCDC181","red"
"gene-SLC19A2|SLC19A2","magenta"
"gene-F5|F5","brown"
"gene-ATG3|ATG3","salmon"
"gene-SLC35A5|SLC35A5","bisque4"
"gene-CCDC80|CCDC80","blue"
"gene-LOC121469357|LOC121469357","grey"
"gene-LOC100227477|LOC100227477","blue"
"gene-LOC115493789|LOC115493789","blue"
"gene-GTPBP8|GTPBP8","yellow"
"gene-LOC115493776|LOC115493776","turquoise"
"gene-TAF13|TAF13","turquoise"
"gene-RMP64|RMP64","turquoise"
"gene-BOC|BOC","blue"
"gene-CFAP44|CFAP44","royalblue"
"gene-LOC100227541|LOC100227541","greenyellow"
"gene-ILDR1|ILDR1","grey"
"gene-GPR15|GPR15","darkorange"
"gene-CLDND1|CLDND1","blue"
"gene-GRAMD1C|GRAMD1C","green"
"gene-DRD3|DRD3","grey"
"gene-ZDHHC23|ZDHHC23","turquoise"
"gene-CCDC191|CCDC191","turquoise"
"gene-QTRT2|QTRT2","red"
"gene-GAP43|GAP43","grey"
"gene-ZBTB20|ZBTB20","purple"
"gene-IGSF11|IGSF11","darkgrey"
"gene-LOC100227480|LOC100227480","grey"
"gene-LSAMP|LSAMP","tan"
"gene-ARHGAP31|ARHGAP31","darkturquoise"
"gene-LOC100219809|LOC100219809","purple"
"gene-B4GALT4|B4GALT4","greenyellow"
"gene-TMEM39A|TMEM39A","purple"
"gene-LOC105760670|LOC105760670","purple"
"gene-CHD1L|CHD1L","blue"
"gene-VANGL1|VANGL1","brown"
"gene-NHLH2|NHLH2","midnightblue"
"gene-LOC140682591|LOC140682591","grey"
