"GeneID","Symbol"
"gene-LOC140685194|LOC140685194","LOC140685194"
"gene-LOC121468661|LOC121468661","LOC121468661"
"gene-MYL1|MYL1","MYL1"
"gene-CIMIP4|CIMIP4","CIMIP4"
"gene-NPPA|NPPA","NPPA"
"gene-HSPA2|HSPA2","HSPA2"
"gene-ACTC1|ACTC1","ACTC1"
"gene-LOC121470441|LOC121470441","LOC121470441"
"gene-ASAP3|ASAP3","ASAP3"
"gene-PYGM|PYGM","PYGM"
"gene-FBXO15|FBXO15","FBXO15"
"gene-EIF2AK3|EIF2AK3","EIF2AK3"
"gene-CACNA1S|CACNA1S","CACNA1S"
"gene-ZBTB16|ZBTB16","ZBTB16"
"gene-LOC100224927|LOC100224927","LOC100224927"
"gene-FICD|FICD","FICD"
"gene-LOC100190429|LOC100190429","LOC100190429"
"gene-LOC100229421|LOC100229421","LOC100229421"
"gene-HSPA5|HSPA5","HSPA5"
"gene-CLPS|CLPS","CLPS"
"gene-OTUD1|OTUD1","OTUD1"
"gene-TNNT3|TNNT3","TNNT3"
"gene-DIO3|DIO3","DIO3"
"gene-BAG3|BAG3","BAG3"
"gene-MIA3|MIA3","MIA3"
"gene-LOC121470626|LOC121470626","LOC121470626"
"gene-RSAD2|RSAD2","RSAD2"
"gene-SLF1|SLF1","SLF1"
"gene-NFKBIZ|NFKBIZ","NFKBIZ"
"gene-TNNC1|TNNC1","TNNC1"
"gene-ACTA1|ACTA1","ACTA1"
"gene-NSA2|NSA2","NSA2"
"gene-CALML4|CALML4","CALML4"
"gene-LOC100223967|LOC100223967","LOC100223967"
"gene-LOC140682200|LOC140682200","LOC140682200"
"gene-MAP3K8|MAP3K8","MAP3K8"
"gene-LOC116808104|LOC116808104","LOC116808104"
"gene-NABP1|NABP1","NABP1"
"gene-TMEM50A|TMEM50A","TMEM50A"
"gene-CSRP3|CSRP3","CSRP3"
"gene-LOC115498543|LOC115498543","LOC115498543"
"gene-FKBP5|FKBP5","FKBP5"
"gene-HSPH1|HSPH1","HSPH1"
"gene-GFI1B|GFI1B","GFI1B"
"gene-CDK10|CDK10","CDK10"
"gene-LOC100228652|LOC100228652","LOC100228652"
"gene-METTL23|METTL23","METTL23"
"gene-TMX2|TMX2","TMX2"
"gene-TCAP|TCAP","TCAP"
"gene-PNRC1|PNRC1","PNRC1"
"gene-BNIP3|BNIP3","BNIP3"
"gene-LOC140685191|LOC140685191","LOC140685191"
"gene-LOC115497843|LOC115497843","LOC115497843"
"gene-LOC140680465|LOC140680465","LOC140680465"
"gene-LOC100231625|LOC100231625","LOC100231625"
"gene-EEF1AKMT3|EEF1AKMT3","EEF1AKMT3"
"gene-PRRG4|PRRG4","PRRG4"
"gene-LOC140684575|LOC140684575","LOC140684575"
"gene-DNAJA4|DNAJA4","DNAJA4"
"gene-LOC115491015|LOC115491015","LOC115491015"
"gene-LOC115497844|LOC115497844","LOC115497844"
