"GeneID","Symbol"
"gene-OCIAD1|OCIAD1","OCIAD1"
"gene-MINDY3|MINDY3","MINDY3"
"gene-LIMS2|LIMS2","LIMS2"
"gene-DPP7|DPP7","DPP7"
"gene-RFC5|RFC5","RFC5"
"gene-CDIN1|CDIN1","CDIN1"
"gene-GPM6A|GPM6A","GPM6A"
"gene-PMPCB|PMPCB","PMPCB"
"gene-BLTP3B|BLTP3B","BLTP3B"
"gene-PDSS2|PDSS2","PDSS2"
"gene-UAP1L1|UAP1L1","UAP1L1"
"gene-SMIM14|SMIM14","SMIM14"
"gene-FBXO33|FBXO33","FBXO33"
"gene-GOT1|GOT1","GOT1"
"gene-HEG1|HEG1","HEG1"
"gene-NUDT19|NUDT19","NUDT19"
"gene-THSD4|THSD4","THSD4"
"gene-RAB18|RAB18","RAB18"
"gene-BRPF3|BRPF3","BRPF3"
"gene-SMIM5|SMIM5","SMIM5"
"gene-SNX13|SNX13","SNX13"
"gene-AKT1|AKT1","AKT1"
"gene-TIGAR|TIGAR","TIGAR"
"gene-KIRREL3|KIRREL3","KIRREL3"
"gene-KIF26A|KIF26A","KIF26A"
"gene-IMMT|IMMT","IMMT"
"gene-DLG1|DLG1","DLG1"
"gene-LOC100224150|LOC100224150","LOC100224150"
"gene-TLCD1|TLCD1","TLCD1"
"gene-MLF2|MLF2","MLF2"
"gene-HIGD1A|HIGD1A","HIGD1A"
"gene-TTC19|TTC19","TTC19"
"gene-NFYC|NFYC","NFYC"
"gene-DIO1|DIO1","DIO1"
"gene-GMPR|GMPR","GMPR"
"gene-GCLM|GCLM","GCLM"
"gene-PLEKHA1|PLEKHA1","PLEKHA1"
"gene-MAPK8|MAPK8","MAPK8"
"gene-DDT|DDT","DDT"
"gene-MAFG|MAFG","MAFG"
"gene-PPFIA2|PPFIA2","PPFIA2"
"gene-CELA1|CELA1","CELA1"
"gene-RPS6KA2|RPS6KA2","RPS6KA2"
"gene-AQP11|AQP11","AQP11"
"gene-ATP6V1H|ATP6V1H","ATP6V1H"
"gene-XRCC5|XRCC5","XRCC5"
"gene-PTER|PTER","PTER"
"gene-CYB5B|CYB5B","CYB5B"
"gene-ABCD2|ABCD2","ABCD2"
"gene-MINPP1|MINPP1","MINPP1"
