"GeneID","Symbol"
"gene-LOC115496969|LOC115496969","LOC115496969"
"gene-GDAP1L1|GDAP1L1","GDAP1L1"
"gene-LOC105758763|LOC105758763","LOC105758763"
"gene-LOC115495779|LOC115495779","LOC115495779"
"gene-LOC115494876|LOC115494876","LOC115494876"
"gene-ADAMTS17|ADAMTS17","ADAMTS17"
"gene-LOC100221157|LOC100221157","LOC100221157"
"gene-LOC100225050|LOC100225050","LOC100225050"
"gene-BMAL1|BMAL1","BMAL1"
"gene-SPG21|SPG21","SPG21"
"gene-IFNAR1|IFNAR1","IFNAR1"
"gene-TMEM41B|TMEM41B","TMEM41B"
"gene-DNAJA2|DNAJA2","DNAJA2"
"gene-G3BP1|G3BP1","G3BP1"
"gene-SYCN|SYCN","SYCN"
"gene-DUSP29|DUSP29","DUSP29"
"gene-NUCKS1|NUCKS1","NUCKS1"
"gene-TNNI3K|TNNI3K","TNNI3K"
"gene-KLF11|KLF11","KLF11"
"gene-NPAS2|NPAS2","NPAS2"
"gene-FOXO1|FOXO1","FOXO1"
"gene-DLST|DLST","DLST"
"gene-GGA1|GGA1","GGA1"
"gene-FADS1|FADS1","FADS1"
"gene-LOC100222881|LOC100222881","LOC100222881"
"gene-TUBAL3|TUBAL3","TUBAL3"
"gene-GCLC|GCLC","GCLC"
"gene-LOC140680831|LOC140680831","LOC140680831"
"gene-PASD1|PASD1","PASD1"
"gene-TUBB|TUBB","TUBB"
"gene-WASHC4|WASHC4","WASHC4"
"gene-ABHD12|ABHD12","ABHD12"
"gene-N4BP2L1|N4BP2L1","N4BP2L1"
"gene-AKAP1|AKAP1","AKAP1"
"gene-UBQLN4|UBQLN4","UBQLN4"
"gene-CAD|CAD","CAD"
"gene-CDC27|CDC27","CDC27"
"gene-CYP2U1|CYP2U1","CYP2U1"
"gene-GATM|GATM","GATM"
"gene-TIMM8A|TIMM8A","TIMM8A"
"gene-AGPAT2|AGPAT2","AGPAT2"
"gene-CTCF|CTCF","CTCF"
"gene-CLPX|CLPX","CLPX"
"gene-SLC36A4|SLC36A4","SLC36A4"
"gene-ZMAT4|ZMAT4","ZMAT4"
"gene-YAF2|YAF2","YAF2"
"gene-ELP6|ELP6","ELP6"
"gene-DSC1|DSC1","DSC1"
"gene-SLC25A19|SLC25A19","SLC25A19"
"gene-LOC100224101|LOC100224101","LOC100224101"
"gene-MFAP3L|MFAP3L","MFAP3L"
"gene-E2F1|E2F1","E2F1"
"gene-PDGFRL|PDGFRL","PDGFRL"
"gene-RNF130|RNF130","RNF130"
"gene-TOR3A|TOR3A","TOR3A"
"gene-MOSMO|MOSMO","MOSMO"
"gene-PTEN|PTEN","PTEN"
"gene-TMEM259|TMEM259","TMEM259"
"gene-ABR|ABR","ABR"
"gene-BRMS1L|BRMS1L","BRMS1L"
"gene-HNF4A|HNF4A","HNF4A"
"gene-STIM1|STIM1","STIM1"
"gene-METTL25|METTL25","METTL25"
"gene-LOC116807891|LOC116807891","LOC116807891"
"gene-TTYH3|TTYH3","TTYH3"
"gene-CERK|CERK","CERK"
"gene-ACSL1|ACSL1","ACSL1"
"gene-MAN2C1|MAN2C1","MAN2C1"
"gene-SLC22A31|SLC22A31","SLC22A31"
"gene-LOC101233796|LOC101233796","LOC101233796"
"gene-THBD|THBD","THBD"
"gene-CDCA7L|CDCA7L","CDCA7L"
"gene-EPRS1|EPRS1","EPRS1"
"gene-ACTL6A|ACTL6A","ACTL6A"
"gene-SHANK3|SHANK3","SHANK3"
"gene-LOC100218765|LOC100218765","LOC100218765"
"gene-FKRP|FKRP","FKRP"
"gene-TECPR2|TECPR2","TECPR2"
"gene-NEK6|NEK6","NEK6"
"gene-PA2G4|PA2G4","PA2G4"
"gene-TAF5L|TAF5L","TAF5L"
"gene-CS|CS","CS"
"gene-MYH9|MYH9","MYH9"
"gene-GATA4|GATA4","GATA4"
"gene-ZC3HC1|ZC3HC1","ZC3HC1"
"gene-WEE1|WEE1","WEE1"
"gene-SAMHD1|SAMHD1","SAMHD1"
"gene-LOC100221315|LOC100221315","LOC100221315"
"gene-UCHL3|UCHL3","UCHL3"
"gene-WDR26|WDR26","WDR26"
"gene-LOC105758954|LOC105758954","LOC105758954"
"gene-SPPL2B|SPPL2B","SPPL2B"
"gene-NCOA6|NCOA6","NCOA6"
"gene-KAT2B|KAT2B","KAT2B"
"gene-LRPPRC|LRPPRC","LRPPRC"
"gene-RPS6KL1|RPS6KL1","RPS6KL1"
"gene-FERRY3|FERRY3","FERRY3"
"gene-ERLIN1|ERLIN1","ERLIN1"
"gene-CNOT6L|CNOT6L","CNOT6L"
"gene-LOC115492594|LOC115492594","LOC115492594"
"gene-INSIG1|INSIG1","INSIG1"
"gene-UBTF|UBTF","UBTF"
"gene-RAB29|RAB29","RAB29"
"gene-LOC100217613|LOC100217613","LOC100217613"
"gene-PIK3CG|PIK3CG","PIK3CG"
"gene-MCM5|MCM5","MCM5"
"gene-PBRM1|PBRM1","PBRM1"
"gene-GID8|GID8","GID8"
"gene-SET|SET","SET"
"gene-CCDC93|CCDC93","CCDC93"
"gene-DGKB|DGKB","DGKB"
"gene-XIRP2|XIRP2","XIRP2"
"gene-DDX46|DDX46","DDX46"
"gene-TK1|TK1","TK1"
"gene-PARD6B|PARD6B","PARD6B"
"gene-WDR31|WDR31","WDR31"
"gene-ANO9|ANO9","ANO9"
"gene-LOC100218528|LOC100218528","LOC100218528"
"gene-TDRD7|TDRD7","TDRD7"
"gene-MFN1|MFN1","MFN1"
"gene-RELL1|RELL1","RELL1"
"gene-ALG8|ALG8","ALG8"
"gene-SCYL2|SCYL2","SCYL2"
"gene-PSME3|PSME3","PSME3"
"gene-TGFBR1|TGFBR1","TGFBR1"
"gene-LOC101233080|LOC101233080","LOC101233080"
