"GeneID","Symbol","logCPM","PValue_spline","FDR_spline","FDR_factor","logFC_Heat_vs_Control","FDR_Heat_vs_Control","logFC_Rec2h_vs_Heat","FDR_Rec2h_vs_Heat","logFC_Rec24h_vs_Rec2h","FDR_Rec24h_vs_Rec2h","logFC_Rec2wk_vs_Rec24h","FDR_Rec2wk_vs_Rec24h","logFC_Rec2wk_vs_Control","FDR_Rec2wk_vs_Control","Cluster"
"gene-DHX33|DHX33","DHX33",2.99998163239787,0.828433237618986,0.899847208366876,0.934740250830483,-0.0279492884956042,0.933743775134309,-0.0680397171482463,0.828023065856215,-0.00176163101685677,0.999738595240615,0.0805703597900449,0.867726643705208,-0.0171802768706624,0.999968904514541,NA
"gene-GGCX|GGCX","GGCX",6.61393005086303,0.828547009539067,0.899847208366876,0.942519110348489,-0.145509214194259,0.674701849389753,0.0609481494460229,0.889782967549279,0.0125055128407846,0.993800073921625,0.0579220643869388,0.935852298798369,-0.0141334875205124,0.999968904514541,NA
"gene-POLR3GL|POLR3GL","POLR3GL",2.79054947206888,0.828422158070871,0.899847208366876,0.94470717897616,0.0882048410165269,0.856806079294851,0.0851415914388715,0.874200227872419,-0.00219255276462932,0.999738595240615,-0.0795913925935068,0.92542516149601,0.0915624870972623,0.999968904514541,NA
"gene-NPEPPS|NPEPPS","NPEPPS",4.94298512034467,0.828049832715896,0.899847208366876,0.929644166996772,-0.0235366466549111,0.96681355713794,-0.120763979180139,0.808101475001059,-0.0125397151046975,0.995462105728491,0.00949221003103882,0.992097118588773,-0.147348130908709,0.999968904514541,NA
"gene-RXFP3|RXFP3","RXFP3",-2.9826218016106,0.828166695761443,0.899847208366876,0.91121447590983,0.0230902637664464,0.98991307692148,-0.487599875258879,0.750946423757366,0.0240083411220631,0.997594610474292,-0.0916575761441903,0.979923331714053,-0.53215884651456,0.999968904514541,NA
"gene-LOC140681842|LOC140681842","LOC140681842",-2.25249342884009,0.828156769414905,0.899847208366876,0.953686133444085,-0.000101749430385147,0.999916373556826,-0.113504983929739,0.931027000847023,-0.102908708451898,0.972380640122656,0.396185717959092,0.805865423274798,0.179670276147069,0.999968904514541,NA
"gene-ZBTB38|ZBTB38","ZBTB38",5.07631996666373,0.82883688011972,0.900086935243844,0.878930681637829,0.0143546793499556,0.957464434508693,-0.0796102928353606,0.726337946246511,0.074419856134815,0.892971146285842,-0.0877123140752553,0.808052565082035,-0.0785480714258454,0.999968904514541,NA
"gene-LOC140684497|LOC140684497","LOC140684497",5.19684597380089,0.828917555292927,0.900117143800743,0.940809783105465,-0.0119810701556559,0.979503014730516,0.0470761567652998,0.913513846279802,-0.1165072042546,0.897652079801904,0.150143561278914,0.792638664683236,0.0687314436339582,0.999968904514541,NA
"gene-TAB1|TAB1","TAB1",3.21861581665592,0.829015568612666,0.900166174705419,0.941383839534179,-0.0198869890898635,0.957266228373797,-0.0484443773203404,0.891765547950182,0.057285049870854,0.949972535886007,-0.103398164872624,0.834504752650712,-0.114444481411973,0.999968904514541,NA
"gene-ZNF438|ZNF438","ZNF438",3.53746057132026,0.82929193366876,0.900389541006322,0.954665200133688,0.0558906606246584,0.81107891196026,-0.00232604942145428,0.993857317320892,0.0404861353774001,0.954644998854718,-0.055728724099034,0.892996500958689,0.0383220224815702,0.999968904514541,NA
