"GeneID","Symbol"
"gene-DNAJC3|DNAJC3","DNAJC3"
"gene-LOC115493503|LOC115493503","LOC115493503"
"gene-LOC140683798|LOC140683798","LOC140683798"
"gene-PDE11A|PDE11A","PDE11A"
"gene-PSMD3|PSMD3","PSMD3"
"gene-NME7|NME7","NME7"
"gene-FARSA|FARSA","FARSA"
"gene-LOC121469107|LOC121469107","LOC121469107"
"gene-SSBP2|SSBP2","SSBP2"
"gene-LOC115497648|LOC115497648","LOC115497648"
"gene-CDK5RAP3|CDK5RAP3","CDK5RAP3"
"gene-MAN1C1|MAN1C1","MAN1C1"
"gene-GTPBP4|GTPBP4","GTPBP4"
"gene-MKNK2|MKNK2","MKNK2"
"gene-LOC115496371|LOC115496371","LOC115496371"
"gene-PTPRQ|PTPRQ","PTPRQ"
"gene-PTGS1|PTGS1","PTGS1"
"gene-LOC140681166|LOC140681166","LOC140681166"
"gene-LIN7B|LIN7B","LIN7B"
"gene-SOX9|SOX9","SOX9"
"gene-LOC140682578|LOC140682578","LOC140682578"
"gene-LOC140681752|LOC140681752","LOC140681752"
"gene-FKBP14|FKBP14","FKBP14"
"gene-LOC140683902|LOC140683902","LOC140683902"
"gene-PDIA3|PDIA3","PDIA3"
"gene-CCDC92B|CCDC92B","CCDC92B"
"gene-C8B|C8B","C8B"
"gene-LOC140680309|LOC140680309","LOC140680309"
"gene-SEL1L|SEL1L","SEL1L"
"gene-RNF208|RNF208","RNF208"
"gene-IFRD1|IFRD1","IFRD1"
"gene-LOC140683687|LOC140683687","LOC140683687"
"gene-LOC115493339|LOC115493339","LOC115493339"
"gene-LOC140683741|LOC140683741","LOC140683741"
"gene-ERLEC1|ERLEC1","ERLEC1"
"gene-LOC116806897|LOC116806897","LOC116806897"
"gene-KXD1|KXD1","KXD1"
"gene-TGIF2|TGIF2","TGIF2"
"gene-GOLT1B|GOLT1B","GOLT1B"
"gene-LOC140681920|LOC140681920","LOC140681920"
"gene-RCVRN|RCVRN","RCVRN"
"gene-LDLRAP1|LDLRAP1","LDLRAP1"
"gene-LEPROTL1|LEPROTL1","LEPROTL1"
"gene-SARAF|SARAF","SARAF"
"gene-FOXP4|FOXP4","FOXP4"
"gene-ABCA12|ABCA12","ABCA12"
"gene-LOC115495431|LOC115495431","LOC115495431"
"gene-LOC115495650|LOC115495650","LOC115495650"
"gene-CANX|CANX","CANX"
"gene-CHTF18|CHTF18","CHTF18"
"gene-CRELD2|CRELD2","CRELD2"
"gene-SEC61B|SEC61B","SEC61B"
"gene-SARM1|SARM1","SARM1"
"gene-LOC121469108|LOC121469108","LOC121469108"
"gene-LOC140684752|LOC140684752","LOC140684752"
"gene-ALG2|ALG2","ALG2"
"gene-LOC115493297|LOC115493297","LOC115493297"
"gene-LOC100220817|LOC100220817","LOC100220817"
"gene-ACBD3|ACBD3","ACBD3"
"gene-LHFPL4|LHFPL4","LHFPL4"
"gene-IRAK1BP1|IRAK1BP1","IRAK1BP1"
"gene-LOC140684331|LOC140684331","LOC140684331"
"gene-LOC140683633|LOC140683633","LOC140683633"
"gene-CACFD1|CACFD1","CACFD1"
"gene-FUS|FUS","FUS"
"gene-LOC140682134|LOC140682134","LOC140682134"
"gene-ZDHHC16|ZDHHC16","ZDHHC16"
"gene-C6|C6","C6"
"gene-ASS1|ASS1","ASS1"
"gene-PDIA6|PDIA6","PDIA6"
"gene-LOC115496148|LOC115496148","LOC115496148"
"gene-LOC140684409|LOC140684409","LOC140684409"
"gene-AMER2|AMER2","AMER2"
"gene-IL22RA1|IL22RA1","IL22RA1"
"gene-LOC105758748|LOC105758748","LOC105758748"
"gene-COA1|COA1","COA1"
"gene-GADD45G|GADD45G","GADD45G"
"gene-LOC140682366|LOC140682366","LOC140682366"
"gene-LOC140680579|LOC140680579","LOC140680579"
"gene-MUS81|MUS81","MUS81"
"gene-LOC121469833|LOC121469833","LOC121469833"
"gene-LOC140683834|LOC140683834","LOC140683834"
"gene-SLC35B1|SLC35B1","SLC35B1"
"gene-TTF2|TTF2","TTF2"
"gene-LOC115496993|LOC115496993","LOC115496993"
"gene-LOC140681736|LOC140681736","LOC140681736"
"gene-EDF1|EDF1","EDF1"
"gene-LOC140682650|LOC140682650","LOC140682650"
"gene-SUGP1|SUGP1","SUGP1"
"gene-LOC140681076|LOC140681076","LOC140681076"
"gene-LOC140681757|LOC140681757","LOC140681757"
"gene-H6PD|H6PD","H6PD"
"gene-LOC115498177|LOC115498177","LOC115498177"
"gene-VWA5B1|VWA5B1","VWA5B1"
"gene-NDUFAF8|NDUFAF8","NDUFAF8"
"gene-NUP88|NUP88","NUP88"
"gene-LOC140682084|LOC140682084","LOC140682084"
"gene-LOC140680335|LOC140680335","LOC140680335"
"gene-TRAF2|TRAF2","TRAF2"
"gene-GLP1R|GLP1R","GLP1R"
"gene-SSTR3|SSTR3","SSTR3"
"gene-ID3|ID3","ID3"
"gene-LOC116806615|LOC116806615","LOC116806615"
"gene-ARL6IP1|ARL6IP1","ARL6IP1"
"gene-LOC115493070|LOC115493070","LOC115493070"
"gene-CTNNA3|CTNNA3","CTNNA3"
"gene-LOC100226305|LOC100226305","LOC100226305"
"gene-LOC100223640|LOC100223640","LOC100223640"
"gene-LOC140682288|LOC140682288","LOC140682288"
"gene-ST7|ST7","ST7"
"gene-GMPPB|GMPPB","GMPPB"
"gene-LRRC61|LRRC61","LRRC61"
"gene-ULK4|ULK4","ULK4"
"gene-LOC115497750|LOC115497750","LOC115497750"
"gene-MAX|MAX","MAX"
"gene-CBX4|CBX4","CBX4"
"gene-LOC105758733|LOC105758733","LOC105758733"
"gene-TEPSIN|TEPSIN","TEPSIN"
"gene-SPEN|SPEN","SPEN"
"gene-CCDC141|CCDC141","CCDC141"
"gene-JAKMIP2|JAKMIP2","JAKMIP2"
"gene-DLX1|DLX1","DLX1"
"gene-NAB2|NAB2","NAB2"
